year,treated,synthetic,effect,effect_pct,period
1985,101.47058823529412,72.27622392040996,29.194364314884155,40.392763666005536,pre
1986,98.9042675893887,83.22951326139196,15.674754327996737,18.833168324279814,pre
1987,96.25144175317186,86.64116468192361,9.610277071248248,11.092045111038644,pre
1988,109.8327566320646,91.2089581000653,18.6237985319993,20.418826088954045,pre
1989,106.74740484429066,97.59699554093766,9.150409303353001,9.37570798428401,pre
1990,100.0,100.00000000076892,-7.6892092693015e-10,-7.689209269242376e-10,pre
1991,74.33679354094579,85.64484295936604,-11.308049418420254,-13.203421277548872,pre
1992,74.59630911188005,89.76990386235269,-15.173594750472645,-16.902763729967724,pre
1993,70.27104959630911,88.08932790047969,-17.818278304170576,-20.227510788027647,pre
1994,73.09688581314879,93.8077079625826,-20.71082214943381,-22.077953506437666,pre
1995,81.54555940023069,82.05195303159749,-0.5063936313668052,-0.6171621913396715,pre
1996,88.17762399077279,88.25355647241922,-0.07593248164643285,-0.08603900475122844,post
1997,89.61937716262976,99.73373133049341,-10.114354167863652,-10.141357425350039,post
1998,91.63783160322953,107.43201825121027,-15.794186647980737,-14.701563747084132,post
1999,92.15686274509804,113.63299193537551,-21.476129190277476,-18.899554455532787,post
