country,ansp,period,los_rate_per_100k,ratio_to_canada,source
Canada,Nav Canada,Recent (2023),0.53,1.0,Nav Canada Annual Report 2023
USA,FAA,Recent,3.3,6.2,Comparative analysis (various sources)
